type,nameOrig,nameDest,amount,oldbalanceOrg,newbalanceOrg,oldbalanceDest,newbalanceDest,isFraud,creditCard,timestamp
TRANSFER,John,Bob,3161.03,14328.64,11167.609999999999,15538.23,18699.26,0,1234-5678-9012-0174,2023-11-01 16:29:14.518749
TRANSFER,Jane,David,9855.93,6063.19,-3792.7400000000007,26319.35,36175.28,1,1234-5678-9012-0652,2024-06-08 16:29:14.518749
CASH_OUT,Bob,John,8931.2,31279.6,22348.399999999998,23476.53,32407.73,0,1234-5678-9012-0758,2024-01-08 16:29:14.518749
CASH_OUT,Alice,Jane,6691.92,26685.64,19993.72,41857.44,48549.36,0,1234-5678-9012-0453,2023-11-27 16:29:14.518749
TRANSFER,Eve,Bob,5810.11,20224.89,14414.779999999999,2234.12,8044.23,1,1234-5678-9012-0993,2023-12-13 16:29:14.518749
DEBIT,Jane,John,8198.86,26914.3,18715.44,32068.21,40267.07,0,1234-5678-9012-0326,2024-04-01 16:29:14.518749
DEBIT,David,Bob,3666.07,739.05,-2927.0200000000004,29651.61,33317.68,0,1234-5678-9012-0976,2024-09-20 16:29:14.518749
CASH_OUT,John,Jane,5764.38,18614.86,12850.48,7786.69,13551.07,0,1234-5678-9012-0803,2024-02-05 16:29:14.518749
TRANSFER,Eve,John,6246.83,35544.11,29297.28,44924.96,51171.79,1,1234-5678-9012-0207,2024-05-08 16:29:14.518749
DEBIT,David,Jane,7946.55,15831.83,7885.28,11405.59,19352.14,0,1234-5678-9012-0668,2023-12-22 16:29:14.518749
DEBIT,John,Charlie,6387.34,18644.83,12257.490000000002,12969.56,19356.9,0,1234-5678-9012-0691,2023-11-30 16:29:14.518749
CASH_IN,David,Eve,7570.14,43389.17,35819.03,33313.24,40883.38,0,1234-5678-9012-0683,2024-02-02 16:29:14.518749
CASH_IN,Jane,Charlie,8493.4,23175.55,14682.15,28881.66,37375.06,0,1234-5678-9012-0376,2024-05-15 16:29:14.518749
CASH_OUT,Bob,David,2552.94,23545.6,20992.66,27493.25,30046.19,0,1234-5678-9012-0003,2023-11-30 16:29:14.518749
TRANSFER,Charlie,Bob,8827.94,12625.33,3797.3899999999994,29910.32,38738.26,1,1234-5678-9012-0916,2024-08-17 16:29:14.518749
CASH_IN,Alice,David,7338.81,17503.18,10164.369999999999,30922.05,38260.86,0,1234-5678-9012-0964,2023-12-06 16:29:14.518749
TRANSFER,Bob,Jane,6825.92,4056.47,-2769.4500000000003,43527.48,50353.4,1,1234-5678-9012-0742,2024-02-29 16:29:14.518749
TRANSFER,John,David,1356.56,39866.39,38509.83,13718.63,15075.189999999999,0,1234-5678-9012-0512,2024-08-04 16:29:14.518749
DEBIT,Bob,David,1517.07,9724.43,8207.36,502.53,2019.6,0,1234-5678-9012-0559,2024-09-07 16:29:14.518749
CASH_IN,Eve,Alice,7050.2,17943.44,10893.239999999998,49739.48,56789.68,0,1234-5678-9012-0083,2024-02-21 16:29:14.518749
CASH_IN,Bob,David,7454.73,9440.49,1985.7600000000002,9705.23,17159.96,0,1234-5678-9012-0188,2023-12-14 16:29:14.518749
CASH_IN,David,John,7342.9,25744.68,18401.78,7179.4,14522.3,0,1234-5678-9012-0602,2024-07-07 16:29:14.518749
DEBIT,Bob,John,2360.58,5374.68,3014.1000000000004,19440.44,21801.019999999997,0,1234-5678-9012-0273,2024-06-11 16:29:14.518749
DEBIT,Alice,Eve,66.6,16618.97,16552.370000000003,16622.27,16688.87,0,1234-5678-9012-0533,2024-02-12 16:29:14.518749
CASH_OUT,Eve,David,7014.66,12712.99,5698.33,21226.19,28240.85,0,1234-5678-9012-0936,2024-04-14 16:29:14.518749
TRANSFER,Bob,David,8715.1,26046.57,17331.47,17695.61,26410.71,1,1234-5678-9012-0214,2023-10-07 16:29:14.518749
DEBIT,Charlie,David,8237.05,48100.79,39863.740000000005,4432.44,12669.489999999998,0,1234-5678-9012-0640,2024-01-22 16:29:14.518749
DEBIT,Bob,Eve,7988.78,3697.72,-4291.0599999999995,2472.93,10461.71,0,1234-5678-9012-0948,2024-02-06 16:29:14.518749
CASH_OUT,Alice,Charlie,6563.58,30251.24,23687.660000000003,32481.66,39045.24,0,1234-5678-9012-0893,2023-11-23 16:29:14.518749
PAYMENT,Jane,Alice,7019.03,49609.23,42590.200000000004,22106.62,29125.649999999998,0,1234-5678-9012-0115,2024-03-18 16:29:14.518749
CASH_OUT,Bob,Alice,5567.39,28202.82,22635.43,18184.67,23752.059999999998,0,1234-5678-9012-0924,2024-06-25 16:29:14.518749
TRANSFER,Bob,Charlie,2102.54,47695.38,45592.84,38649.9,40752.44,0,1234-5678-9012-0934,2024-04-13 16:29:14.518749
TRANSFER,Alice,Charlie,3075.09,30781.37,27706.28,14873.42,17948.510000000002,0,1234-5678-9012-0903,2023-09-30 16:29:14.518749
CASH_OUT,John,Eve,3154.87,12166.25,9011.380000000001,41686.91,44841.780000000006,0,1234-5678-9012-0609,2024-08-31 16:29:14.518749
CASH_IN,Alice,John,3413.67,39522.73,36109.060000000005,22908.6,26322.269999999997,0,1234-5678-9012-0134,2024-05-21 16:29:14.518749
CASH_OUT,Jane,Bob,1896.28,45837.55,43941.270000000004,47010.16,48906.44,0,1234-5678-9012-0289,2024-08-26 16:29:14.518749
PAYMENT,Bob,John,2424.41,32497.41,30073.0,6019.09,8443.5,0,1234-5678-9012-0279,2024-04-16 16:29:14.518749
PAYMENT,John,Charlie,4727.54,15838.82,11111.279999999999,41820.17,46547.71,0,1234-5678-9012-0966,2024-04-19 16:29:14.519746
DEBIT,Eve,Jane,671.79,3360.85,2689.06,29355.05,30026.84,0,1234-5678-9012-0526,2023-11-08 16:29:14.519746
PAYMENT,Eve,David,1027.23,46353.6,45326.369999999995,30731.81,31759.04,0,1234-5678-9012-0671,2024-09-12 16:29:14.519746
PAYMENT,John,Eve,9008.77,25661.86,16653.09,11157.56,20166.33,1,1234-5678-9012-0403,2024-04-12 16:29:14.519746
CASH_OUT,Jane,Bob,5003.12,35105.72,30102.600000000002,19646.49,24649.61,0,1234-5678-9012-0765,2024-04-20 16:29:14.519746
CASH_IN,Bob,Alice,95.15,13551.94,13456.79,47424.26,47519.41,0,1234-5678-9012-0626,2024-04-22 16:29:14.519746
CASH_IN,David,Charlie,498.85,36504.62,36005.770000000004,21890.59,22389.44,0,1234-5678-9012-0415,2024-04-25 16:29:14.519746
TRANSFER,Bob,Jane,1361.99,47000.11,45638.12,14003.82,15365.81,0,1234-5678-9012-0787,2023-12-07 16:29:14.519746
DEBIT,Bob,David,8189.24,41510.69,33321.450000000004,4585.2,12774.439999999999,0,1234-5678-9012-0511,2024-04-10 16:29:14.519746
CASH_IN,Jane,Charlie,2787.62,32441.4,29653.780000000002,38246.93,41034.55,0,1234-5678-9012-0480,2024-04-24 16:29:14.519746
CASH_OUT,David,Bob,3308.52,2407.26,-901.2599999999998,42851.29,46159.81,0,1234-5678-9012-0979,2024-01-20 16:29:14.519746
PAYMENT,Eve,David,9244.33,21482.8,12238.47,19186.03,28430.36,1,1234-5678-9012-0932,2024-01-05 16:29:14.519746
CASH_IN,Charlie,John,5000.95,2890.58,-2110.37,10535.25,15536.2,0,1234-5678-9012-0087,2023-11-21 16:29:14.519746
PAYMENT,Charlie,David,3394.58,3385.47,-9.110000000000127,35421.25,38815.83,0,1234-5678-9012-0762,2023-11-14 16:29:14.519746
CASH_IN,Alice,Bob,6372.74,14089.02,7716.280000000001,33759.98,40132.72,0,1234-5678-9012-0437,2024-08-12 16:29:14.519746
PAYMENT,Jane,Eve,2634.65,33273.05,30638.4,23703.47,26338.120000000003,0,1234-5678-9012-0722,2023-10-22 16:29:14.519746
DEBIT,Eve,John,1252.72,27062.76,25810.039999999997,45781.73,47034.450000000004,0,1234-5678-9012-0661,2024-01-08 16:29:14.519746
PAYMENT,Eve,Jane,9349.47,14723.26,5373.790000000001,11486.17,20835.64,1,1234-5678-9012-0722,2024-02-03 16:29:14.519746
CASH_OUT,Bob,Eve,7768.77,45819.15,38050.380000000005,23340.71,31109.48,1,1234-5678-9012-0722,2023-12-05 16:29:14.519746
PAYMENT,Alice,Jane,4136.49,41278.22,37141.73,21429.22,25565.71,0,1234-5678-9012-0687,2024-08-05 16:29:14.519746
CASH_OUT,John,Charlie,6118.45,2337.49,-3780.96,44783.38,50901.829999999994,0,1234-5678-9012-0878,2024-09-15 16:29:14.519746
TRANSFER,John,Eve,8528.39,42165.74,33637.35,16826.54,25354.93,1,1234-5678-9012-0659,2024-09-15 16:29:14.519746
CASH_IN,Bob,John,7984.48,10942.38,2957.8999999999996,25536.59,33521.07,0,1234-5678-9012-0270,2024-05-30 16:29:14.519746
CASH_OUT,Alice,David,4988.12,7844.52,2856.4000000000005,34901.01,39889.130000000005,0,1234-5678-9012-0951,2024-01-20 16:29:14.519746
CASH_OUT,Jane,Alice,1446.62,40094.55,38647.93,40082.16,41528.780000000006,0,1234-5678-9012-0995,2024-01-29 16:29:14.519746
PAYMENT,John,Eve,6266.78,48833.37,42566.590000000004,38399.79,44666.57,0,1234-5678-9012-0098,2024-03-20 16:29:14.519746
DEBIT,David,John,2811.43,33672.92,30861.489999999998,49775.37,52586.8,0,1234-5678-9012-0545,2024-09-19 16:29:14.519746
TRANSFER,Alice,David,3010.09,45901.38,42891.28999999999,18859.37,21869.46,0,1234-5678-9012-0434,2024-03-25 16:29:14.519746
CASH_IN,John,Alice,1494.37,2771.21,1276.8400000000001,41100.4,42594.770000000004,0,1234-5678-9012-0643,2024-02-16 16:29:14.519746
PAYMENT,Charlie,Bob,7365.57,19059.06,11693.490000000002,5485.98,12851.55,0,1234-5678-9012-0884,2024-04-16 16:29:14.519746
CASH_IN,Jane,Bob,937.52,24659.77,23722.25,31829.36,32766.88,0,1234-5678-9012-0353,2023-11-08 16:29:14.519746
CASH_IN,Eve,Bob,4415.24,28206.56,23791.32,12315.06,16730.3,0,1234-5678-9012-0142,2023-12-03 16:29:14.519746
CASH_OUT,John,Bob,5622.02,8280.48,2658.459999999999,33821.79,39443.81,0,1234-5678-9012-0448,2024-07-09 16:29:14.519746
DEBIT,Jane,Charlie,4293.04,35355.16,31062.120000000003,17996.64,22289.68,0,1234-5678-9012-0481,2024-02-05 16:29:14.519746
